('Room_1', 11.215528075478613, 2.7357669023291447)
('Room_2', 6.342709362548515, 5.027332839310046)
('Room_3', 13.854407336733733, 7.821256502717174)
('Room_4', 1.7349626929392445, 11.37979356321839)
('Room_5', 4.824962890131574, 11.269878940576415)
('Room_6', 9.332124360630507, 11.24853355014154)
('Door_1', 9.32, 5.23)
('Door_2', 13.17, 5.23)
('Door_3', 4.12, 8.6)
('Door_4', 7.74, 8.6)
('Door_5', 2.715, 8.7)
('Table_1', 9.95, 1.61)
('Table_2', 13.64, 8.51)
('Table_3', 5.59, 5.5)
('Table_4', 6.3, 2.37)
('Table_5', 9.93, 11.16)
('Table_6', 4.79, 7.27)
('Table_7', 3.1, 4.23)
('Table_8', 9.9, 6.61)
('Table_9', 8.5, 7.9)
