('Room_1', 11.452722121430524, 1.2679650570370555)
('Room_2', 14.309228533115782, 3.2706981367391528)
('Room_3', 6.794795336692288, 0.8301268802177191)
('Room_4', 2.7329803131544828, 2.9268449187194574)
('Room_5', 8.212582772484923, 3.5125783148326195)
('Room_6', 3.4396555679007923, 7.887617074656822)
('Room_7', 8.930044257316995, 7.899917354037)
('Room_8', 13.385899228584394, 8.673755399068924)
('Room_9', 14.644879481295918, 6.9749889480664375)
('Door_1', 6.07, 1.45)
('Door_2', 5.33, 3.02)
('Door_3', 12.53, 2.91)
('Door_4', 11.15, 4.39)
('Door_5', 11.206764705882353, 5.629235294117646)
('Door_6', 10.175, 5.58)
('Door_7', 4.4, 5.65)
('Door_8', 12.63, 6.8)
('Tabel_1', 2.19, 7.92)
('Tabel_2', 8.66, 4.17)
('Tabel_3', 3.2, 9.14)
('Tabel_4', 15.4, 4.49)
('Tabel_5', 2.08, 1.27)
('Tabel_6', 4.53, 1.48)
('Tabel_7', 1.86, 3.66)
